CountryCode, Country, Region, District, City, Street, House, Latitude, Longitude, 
AZ,Азербайджан,Баку,Низаминский р-н,Баку,Госмана,14,40.4093,49.8671
GB,Англия,Лондон,Грейт-Лондон,Лондон,Оксфордская,
AM,Армения,Ереван,Центральный р-н,Ереван,Пушкина,10,40.1792,44.4991
BY,Беларусь,Гомельская обл.,Гомельский р-н,Гомель,Ленина,12,52.4416,30.9752
DE,Германия,Бавария,Мюнхен,Мюнхен,Марииплац,15,48.1351,11.582
DE,Германия,Бавария,Мюнхен,Мюнхен,Марииплац,5,48.1351,11.582
GE,Грузия,Тбилисская обл.,Тбилисский р-н,Тбилиси,Тбилисская,5,41.7151,44.8271
KZ,Казахстан,Алматинская обл.,Алматинский р-н,Алматы,Мира,22,43.222,76.8512
KG,Кыргызстан,Ошская обл.,Ошский р-н,Ош,Амира Топчуева,1,40.5333,72.8229
LV,Латвия,,,,,
LT,Литва,,,,,
RU,Россия,Саратовская обл.,Балаковский р-н,Балаково,Минская,39,0.0,0.0
RU,Россия,Саратовская обл.,Балаковский р-н,Балаково,Минская,45,52.006575,47.801385
RU,Россия,Саратовская обл.,Балаковский р-н,Поповка,Пионерская,10,52.0201,47.555
RU,Россия,Саратовская обл.,Вольский р-н,Вольск,Советская,22,52.0473,46.7576
RU,Россия,Саратовская обл.,Исаковский р-н,Исаково,,
RU,Россия,Саратовская обл.,Калининский р-н,Калининец,Набережная,14,51.3505,46.0257
RU,Россия,Саратовская обл.,Краснопартизанский р-н,Красный Партизан,Мира,7,52.0345,47.389
RU,Россия,Саратовская обл.,Самойловский р-н,Самойловка,Кирова,25,51.759,45.8753
RU,Россия,Саратовская обл.,Саратовский р-н,Саратов,Пушкина,5,51.5781,46.0086
RU,Россия,Саратовская обл.,Татищевский р-н,Татищево,Центральная,3,51.6453,46.2772
RU,Россия,Саратовская обл.,Энгельсский р-н,Энгельс,Ленина,12,51.5012,46.1192
US,США,Калифорния,Лос-Анджелес,Лос-Анджелес,Голливуд,101,34.0522,-118.2437
US,США,Калифорния,Лос-Анджелес,Лос-Анджелес,Холливудский бульвар,123,34.0522,-118.2437
TR,Турция,Стамбул,Стамбул,,,
FR,Франция,Иль-де-Франс,Париж,Париж,Елисейские поля,45,48.8566,2.3522
FR,Франция,Иль-де-Франс,Париж,Париж,Елисейские поля,78,48.8566,2.3522
SE,Швеция,Стокгольм,,,,
JP,Япония,Канто,Осака,Киото,Гион,12,35.0116,135.7681
