Country,CountryCode,Region,District,City,Street,House,Latitude,Longitude
Казахстан,KZ,,,,,,,
США,US,Калифорния,Лос-Анджелес,Лос-Анджелес,Холливудский бульвар,123,34.0522,-118.2437
Германия,DE,Бавария,Мюнхен,Мюнхен,Марииплац,5,48.1351,11.5820
Франция,FR,Иль-де-Франс,Париж,Париж,Елисейские поля,78,48.8566,2.3522
Япония,JP,Канто,Осака,Киото,Гион,12,35.0116,135.7681
Франция,FR,,,,,,,
Франция,FR,Иль-де-Франс,Париж,Париж,Елисейские поля,,,
Беларусь,BY,,,,,,,
Англия,GB,Лондон,Грейт-Лондон,Лондон,Оксфордская,,,
Турция,TR,Стамбул,Стамбул,,,,,
Швеция,SE,Стокгольм,,,,,,
Литва,LT,,,,,,,
Латвия,LV,,,,,,,
Россия,RU,Саратовская обл.,Балаковский р-н,Балаково,Минская,39,0,0
Россия,RU,Саратовская обл.,Балаковский р-н,Балаково,Минская,45,52.006575,47.801385
Россия,RU,Саратовская обл.,Балаковский р-н,Балаково,Минская,45,52.0151,47.7550
Россия,RU,Саратовская обл.,Энгельсский р-н,Энгельс,Ленина,12,51.5012,46.1192
Россия,RU,Саратовская обл.,Саратовский р-н,Саратов,Пушкина,5,51.5781,46.0086
Россия,RU,Саратовская обл.,Вольский р-н,Вольск,Советская,22,52.0473,46.7576
Россия,RU,Саратовская обл.,Балаковский р-н,Поповка,Пионерская,10,52.0201,47.5550
Россия,RU,Саратовская обл.,Татищевский р-н,Татищево,Центральная,3,51.6453,46.2772
Беларусь,BY,Гомельская обл.,Гомельский р-н,Гомель,Ленина,12,52.4416,30.9752
Казахстан,KZ,Алматинская обл.,Алматинский р-н,Алматы,Мира,22,43.2220,76.8512
Кыргызстан,KG,Ошская обл.,Ошский р-н,Ош,Амира Топчуева,1,40.5333,72.8229
Армения,AM,Ереван,Центральный р-н,Ереван,Пушкина,10,40.1792,44.4991
Грузия,GE,Тбилисская обл.,Тбилисский р-н,Тбилиси,Тбилисская,5,41.7151,44.8271
Азербайджан,AZ,Баку,Низаминский р-н,Баку,Госмана,14,40.4093,49.8671
США,US,Калифорния,Лос-Анджелес,Лос-Анджелес,Голливуд,101,34.0522,-118.2437
Германия,DE,Бавария,Мюнхен,Мюнхен,Марииплац,15,48.1351,11.5820
Франция,FR,Иль-де-Франс,Париж,Париж,Елисейские поля,45,48.8566,2.3522
Россия,RU,Саратовская обл.,Краснопартизанский р-н,Красный Партизан,Мира,7,52.0345,47.3890
Россия,RU,Саратовская обл.,Калининский р-н,Калининец,Набережная,14,51.3505,46.0257
Россия,RU,Саратовская обл.,Исаковский р-н,Исаково,,,,
Россия,RU,Саратовская обл.,Самойловский р-н,Самойловка,Кирова,25,51.7590,45.8753
